a_g,b_g,c_g,snratio_g,mse_g,nrise_g,a_r,b_r,c_r,snratio_r,mse_r,nrise_r,objectId,type,loop
0.4586505044323242,3.889413201968118,8417.556732826573,12.665691172601504,1.858661433873399e-06,6.0,0.4063372208335469,3.450854725436877,7564.465699856061,13.403361542915071,2.2818880395944218e-05,6.0,1519235533615015005,Ia,-1
8.418395385815986,-0.321437064746171,6961.8338821036,12.98643257034571,9.159787731689414e-06,6.0,0.0404044111695892,-69.90177064246015,5951.244214770472,13.716710158501012,1.0125834780143382e-06,7.0,1479132664015010009,Ia,-1
0.5618555752277458,-3.325415151184666,1316.271793654535,7.864824123372472,1.4150987283568564e-05,4.0,1.1206739720364318,-0.6206749265145611,2723.8778553882703,11.878363278397266,1.3872905217575748e-05,6.0,1147430830415015001,Ia,-1
0.4033415464226588,-2.01118306296625,816.4477243755973,4.7979969214111176,0.000399985420593,8.0,0.4798980591573554,-1.3965394261786552,743.9843768200176,5.352084060390593,1.8912276954991348e-05,12.0,1295202153015015012,AGN,-1
1.3482249280566267,12.560824357848,32383.95879477626,16.388135752475556,0.0029387412059002,5.0,0.001060029006189,2774.2793516420124,208951.1165005137,17.929131135456515,0.0002437723248029,5.0,1417174985815015015,RRLyr,-1
5.648959262751748,-0.3155177556452212,738.9377559690554,4.160884495459123,0.0003574899641678,4.0,19.781065479182875,-14.88448780967537,2542.203957346388,7.86706794902058,7.374068960894933e-05,5.0,1057153635215015018,SNIIP,-1
894.5916543467938,-896.5760487050833,1090.8676993707234,5.877330870637016,0.0003757536301143,5.0,2.009055632939465,-187.7288197273932,1251.893510784654,8.301339025679484,3.422205233803071e-05,7.0,1364368072815010009,Ia,-1
0.0801851119313196,17.732288529384657,11503.1779664424,14.325098960552332,2.1613851306010603e-06,12.0,0.076820286213063,21.99465581865027,12022.65758693354,14.27354464462654,3.1559609400071177e-06,8.0,1338284493815015001,SLSN-I,-1
0.0254244629267344,285.0482388119309,12984736.472494598,17.253195885360785,4.907744857853034e-05,7.0,0.0231769686946049,263.9851930830321,115064693.18320888,33.41165972148375,1.0004949581628457e-05,8.0,1549154502915015001,C*,-1
1.9886772784928144,0.0868462705986617,2544.2829374975463,9.06238322769267,0.0001955746202395,5.0,0.368356470250453,1.3244787042974024,2879.961647913561,11.133686891608113,2.081349085726712e-05,5.0,1543257171615015002,Ia,-1
