ztf_name,Appears in bot,Sent for followup,Classification
ZTF24aawivmh,24/07/2024,Yes,
ZTF24aawjctx,24/07/2024,TNS,Ia
ZTF24aavapoe,24/07/2024,TNS,Ia
ZTF24aawobaf,29/07/2024,No,
ZTF24aawrofs,29/07/2024,TNS,Iax
ZTF24aaxmalj,31/07/2024,Yes,Ia
ZTF24aaxiyco,4/8/2024,Yes,
ZTF24aaxpsuf,4/8/2024,Yes,
ZTF24aaxpsfl,4/8/2024,Yes,
ZTF24aaxmpyh,4/8/2024,Yes,Ia-pec
ZTF24aaxsaeq,5/8/2024,Yes,
ZTF24aawxqjl,5/8/2024,TNS,Ia
ZTF24aaxmacd,6/8/2024,Yes,Ia
ZTF24aaxmnqo,6/8/2024,No,Ia
ZTF24aaxyrrd,6/8/2024,Yes,
ZTF24aaxtoch,6/8/2024,No,
ZTF24aaysanz,6/8/2024,Yes,
ZTF24aawzlfb,6/8/2024,No,microlensing
ZTF24aaxxdqq,6/8/2024,Yes,
ZTF24aaxmpne,7/8/2024,TNS,Ia
ZTF24aaxqnbe,8/8/2024,TNS,II
ZTF24aaygegk,8/8/2024,TNS,Ia
ZTF24aayeatn,10/8/2024,TNS,Ia91T
ZTF24aaypzcn,10/8/2024,Yes,
ZTF24aaxqcpy,10/8/2024,Yes,
ZTF24aayxdbn,11/8/2024,No,
ZTF24aaymouy,11/8/2024,TNS,Ia
ZTF24aaywvsf,11/8/2024,Yes,
ZTF24aaxzjdt,12/8/2024,TNS,Ia
ZTF24aazfnry,12/8/2024,No,
ZTF24abakgyn,12/8/2024,TNS,Ia
ZTF24aayyqub,12/8/2024,TNS,Ia
ZTF24abaiddj,13/8/2024,No,
ZTF24aazkvzi,13/8/2024,TNS,Ia
ZTF24aaymilu,13/8/2024,No,
ZTF24aayabgl,14/8/2024,Yes,
ZTF24abajmau,15/8/2024,Yes,
ZTF24abajauu,15/8/2024,Yes,
ZTF24aazjlmk,15/8/2024,Yes,
ZTF24abfolfe,16/9/2024,No,
ZTF24abfmniy,16/9/2024,TNS,Ia
ZTF24abhcjyt,16/9/2024,No,
ZTF24abfawev,16/9/2024,TNS,Ia
ZTF24abgscdq,16/9/2024,Yes,
ZTF24abgsfib,17/9/2024,Yes,
ZTF24abgsvwh,17/9/2024,Yes,
ZTF24abfxing,17/9/2024,TNS,Ia
ZTF24abgpade,19/9/2024,Yes,Ia
ZTF24abfuwoh,19/9/2024,Yes,
ZTF24abglarx,19/9/2024,TNS,Ia
ZTF24abfzzhc,20/9/2024,Yes,
ZTF24abhcptk,20/9/2024,No,AGN
ZTF24abgviom,20/9/2024,No,
ZTF24abhbvwm,20/9/2024,Yes,Ia
ZTF24abgjkys,20/9/2024,Yes,
ZTF24aalpgky,07/05/2024,Yes,other
