id,type,prob_Ia
1521170693315010001,RRLyr,0.772
1292467900215015004,RRLyr,0.195
1524167614215010044,Star,0.29
1398165322615015046,Ia,0.685
1399204091815010005,RRLyr,0.606
1299385271015015013,Mira,0.126
1375310063715010005,RRLyr,0.37
1542154160615010003,Star,0.582
1361348311215010005,EB*,0.795
1363245005015010005,deltaCep,0.601
1342319402815010009,RRLyr,0.274
1410143484015010027,RRLyr,0.681
1277318464615015000,EB*,0.757
1151113141715010025,SNII,0.708
1423352261515015135,RRLyr,0.65
1386302985915015002,QSO,0.273
1297448794015010027,Star,0.192
1305394620915015007,LPV*,0.394
1388393314115025010,EB*,0.815
1300475896215015029,EB*,0.842
1342275754115015003,RRLyr,0.855
1428111033415010014,BLLac,0.334
1389512696215015020,EB*,0.583
1299380096015010005,EB*,0.803
1388405051615025042,EB*,0.496
1299422215715015007,EB*,0.571
1297315723815010006,Star,0.231
1522237410115015008,QSO,0.699
1522259833915010001,QSO,0.813
1399093551715010003,LPV*,0.201
1344374960215010014,C*,0.739
1424120680015015005,EB*,0.743
1356491843215010012,Star,0.796
1284348616115015001,RRLyr,0.715
1522242174015015006,QSO,0.714
1355327690615015001,QSO,0.392
1341428043815010001,EB*,0.813
1477384371115015002,SNIc,0.785
1527323991415010036,EB*,0.83
1384201294015010016,RRLyr,0.736
1339209801915010012,Star,0.655
1300430025715010012,EB*,0.62
1366199881915015011,RRLyr,0.556
1392180474015010009,LPV*,0.347
1357420125715015000,RRLyr,0.697
1404107476115015005,RRLyr,0.735
1302259671115015007,RRLyr,0.225
1365256181215015011,Ia,0.777
1363316821915015021,QSO,0.736
1361372244215010009,Mira,0.308
1524182175215010000,RRLyr,0.29
1358349816215015011,EB*,0.432
1363336195615015006,SNIb,0.704
1294255876215010000,RRLyr,0.246
1291240893615015000,Ia,0.912
1419442660915020061,AGN,0.742
1520472951215010000,RRLyr,0.241
1381111352915015033,Mira,0.664
1521392755015015003,QSO,0.783
1410305134015015012,RedSG*,0.425
1373266606215015000,Star,0.786
1405521810515010026,RRLyr,0.578
1283196513215015009,RRLyr,0.642
