"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"150766","SN 2024hun","16:46:04.100","+03:23:31.50","SN Ia","0.1","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF24aalhjml","ATLAS-HKO - ATLAS-02, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.9246","g-ZTF","2024-04-22 08:11:06.996","Fritz","","2024TNSTR1333....1W","2024TNSCR1610....1J",""
"150689","SN 2024hrq","16:23:17.526","+02:30:32.28","SN Ia","0.093","","","ZTF, GOTO, ATLAS","ZTF, GOTO, ATLAS","ZTF","ATLAS; GOTO; ZTF","ZTF24aalcflg","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-2, GOTO-S - GOTO-4, P48 - ZTF-Cam","P200 - DBSP","1","1","","19.5242","g-ZTF","2024-04-29 07:29:31.997","Fritz","","2024TNSTR1305....1R","2024TNSCR1469....1Q",""
"150661","SN 2024hqr","11:42:42.703","-00:57:24.83","SN Ia","0.049901","","","ZTF","ZTF","ZTF","ZTF","ZTF24aajnwwr","P48 - ZTF-Cam","P60 - SEDM","1","1","","18.4062","r-ZTF","2024-04-29 05:02:10.996","Fritz","","2024TNSTR1303....1H","2024TNSCR1567....1F",""
"150649","SN 2024hqf","13:56:50.994","-17:38:27.44","SN Ia","0.077","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF24aakyqxt","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam, PS1 - GPC1","LT - SPRAT","1","1","","19.3712","g-ZTF","2024-04-28 09:13:51.997","Fritz","","2024TNSTR1307....1Z","2024TNSCR1391....1W",""
"150643","SN 2024hpz","00:17:46.224","+31:16:31.11","SN Ia","0.05","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF24aaleixp","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P200 - DBSP","1","1","","19.1347","r-ZTF","2024-04-29 11:51:32.002","Fritz","","2024TNSTR1301....1S","2024TNSCR1620....1J",""
"150642","SN 2024hpy","08:52:27.996","+20:04:54.21","SN Ia","0.07","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF24aalailt","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.7829","r-ZTF","2024-04-29 04:39:53.999","Fritz","","2024TNSTR1304....1H","2024TNSCR1596....1J",""
"150639","SN 2024hpv","12:14:52.222","-24:06:05.17","SN Ia","0.075","","","ZTF, BlackGEM, ATLAS, Pan-STARRS, Fink, GOTO","ZTF, BlackGEM, ATLAS, Pan-STARRS, GOTO","ZTF","ATLAS; BlackGEM; Fink; GOTO; Pan-STARRS; ZTF","ZTF24aalbkdo","ATLAS-CHL - ATLAS-04, BG4 - BlackGEM-Cam4, GOTO-S - GOTO-3, ML1 - MeerLICHT-Cam, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.9401","g-ZTF","2024-04-29 06:02:16.002","Fritz","","2024TNSTR1304....1H","2024TNSCR1549....1F",""
"150621","SN 2024hpg","21:31:43.210","+00:21:43.65","SN II","0.029381","","","ZTF, GOTO, ATLAS, Pan-STARRS","ZTF, GOTO, ATLAS, Pan-STARRS","ZTF","ATLAS; GOTO; Pan-STARRS; ZTF","ZTF24aakzive","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-1, GOTO-S - GOTO-4, P48 - ZTF-Cam, PS2 - GPC2","P200 - DBSP","1","1","","19.3575","r-ZTF","2024-04-28 11:12:13.999","Fritz","","2024TNSTR1305....1R","2024TNSCR1422....1D",""
"150523","SN 2024hlo","14:18:13.250","-03:07:15.17","SN Ia","0.044958","","","ZTF, ATLAS, Pan-STARRS, GaiaAlerts","ZTF, ATLAS, Pan-STARRS, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ZTF24aalbzkr","ATLAS-HKO - ATLAS-02, ATLAS-STH - ATLAS-03, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","18.5265","g-ZTF","2024-04-29 07:04:03.002","Fritz","","2024TNSTR1263....1S","2024TNSCR1390....1F",""
"150492","SN 2024hkj","12:16:29.830","-09:33:33.11","SN Ia","0.072","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF24aalbepd","ATLAS-STH - ATLAS-03, P48 - ZTF-Cam","P60 - SEDM","1","1","","20.0229","g-ZTF","2024-04-18 05:34:45.001","Fritz","","2024TNSTR1263....1S","2024TNSCR1372....1F",""
