"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"139027","SN 2023vtw","08:56:02.711","+47:25:02.53","SN Ia","0.090874","","","ZTF","ZTF","ZTF","ZTF","ZTF23abjrdne","P48 - ZTF-Cam","P60 - SEDM","1","1","","19.86","g-ZTF","2023-10-13 10:42:14.400","ZTF_Bot1","","2023TNSTR2714....1F","2023TNSCR2962....1W",""
"139013","SN 2023vtj","10:14:45.859","+36:41:11.44","SN Ia-CSM","0.051319","","","ZTF","ZTF","ZTF","ZTF","ZTF23abgnvya","P48 - ZTF-Cam","Keck1 - LRIS","1","1","","19.2","r-ZTF","2023-09-24 12:28:48.000","ZTF_Bot1","","2023TNSTR2714....1F","2023TNSCR3011....1R",""
"139006","SN 2023vtd","08:03:11.983","+01:45:39.77","SN Ia","0.09","","","ZTF, Pan-STARRS","ZTF, Pan-STARRS","ZTF","Pan-STARRS; ZTF","ZTF23abhzlbh","P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.05","g-ZTF","2023-10-05 11:11:02.400","ZTF_Bot1","","2023TNSTR2714....1F","2023TNSCR2812....1J",""
"138566","SN 2023vck","07:09:18.515","+20:38:01.77","SN Ib","0.0175989997","","","ZTF, Fink, ATLAS","ZTF, ATLAS","ZTF","ATLAS; Fink; ZTF","ZTF23abjzkmx","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","Keck1 - LRIS","1","1","","19.917","g-ZTF","2023-10-15 11:04:43.104","ZTF_CLU_PUBLIC","","2023TNSTR2614....1D","2023TNSCR2815....1D",""
"138565","SN 2023vcj","07:55:15.911","+53:44:47.63","SN IIP","0.0252170004","","","ZTF, Pan-STARRS, ATLAS","ZTF, Pan-STARRS, ATLAS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF23abkhajf","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1","NOT - ALFOSC","1","1","","20.1516","g-ZTF","2023-10-15 11:10:50.304","ZTF_CLU_PUBLIC","","2023TNSTR2614....1D","2024TNSCR..28....1C",""
"138563","SN 2023vch","05:14:36.709","-23:48:26.13","SN Ia-pec","0.035164","","","ZTF, Pan-STARRS, GOTO","ZTF, Pan-STARRS, GOTO","ZTF","GOTO; Pan-STARRS; ZTF","ZTF23abkgdei","GOTO-N - GOTO-1, GOTO-S - GOTO-3, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.8267","g-ZTF","2023-10-15 10:33:46.368","ZTF_CLU_PUBLIC","","2023TNSTR2614....1D","2023TNSCR3009....1J",""
"137974","SN 2023ush","19:18:25.393","+34:49:20.91","SN II","0.041","","","ZTF, ATLAS, Fink","ZTF, ATLAS","ZTF","ATLAS; Fink; ZTF","ZTF23abjehlx","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P200 - DBSP","1","1","","19.894","r-ZTF","2023-10-09 05:12:07.200","ZTF_CLU_PUBLIC","","2023TNSTR2568....1D","2023TNSCR2982....1Q",""
"137920","SN 2023uqf","09:33:49.151","+25:06:56.86","SN Ibn","0.15","","","ZTF","ZTF","ZTF","ZTF","ZTF23abidzvf","P48 - ZTF-Cam","Keck1 - LRIS","1","1","","20.4188","g-ZTF","2023-10-05 11:54:57.003","Fritz","","2023TNSTR2548....1R","2023TNSCR2650....1S",""
"137811","SN 2023uma","22:57:10.073","+08:30:19.16","SN Ia","0.0323759988","","","ZTF, Pan-STARRS","ZTF, Pan-STARRS","ZTF","Pan-STARRS; ZTF","ZTF23abivuzt","P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.1316","r-ZTF","2023-10-09 05:38:41.280","ZTF_CLU_PUBLIC","","2023TNSTR2536....1D","2023TNSCR2647....1J",""
"137578","SN 2023udb","04:25:05.785","-10:18:52.04","SN II","0.0326590016","","","ZTF, Pan-STARRS, ATLAS","ZTF, Pan-STARRS, ATLAS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF23abhyroo","ATLAS-CHL - ATLAS-04, P48 - ZTF-Cam, PS2 - GPC2","Keck1 - LRIS","1","1","","19.2678","g-ZTF","2023-10-04 10:10:16.320","ZTF_CLU_PUBLIC","","2023TNSTR2492....1D","2023TNSCR2815....1D",""
